locality,lga_name,abs_lga_code,regional_group,category,subcategory,display_name,poi_count
ABBEYARD,ALPINE,20110,Ovens Murray,recreation,nature_reserve,Nature Reserve,1
ACHERON,MURRINDINDI,25620,Goulburn,public_transport,bus_stop,Bus Stop,2
ADA,BAW BAW,20830,Gippsland,recreation,nature_reserve,Nature Reserve,2
ADELAIDE LEAD,CENTRAL GOLDFIELDS,21670,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,2
AIREYS INLET,SURF COAST,26490,Barwon,education,school,School,2
AIREYS INLET,SURF COAST,26490,Barwon,public_transport,bus_stop,Bus Stop,4
AIREYS INLET,SURF COAST,26490,Barwon,recreation,nature_reserve,Nature Reserve,2
AIREYS INLET,SURF COAST,26490,Barwon,recreation,park,Park,4
AIREYS INLET,SURF COAST,26490,Barwon,recreation,playground,Playground,4
AIREYS INLET,SURF COAST,26490,Barwon,recreation,sports_centre,Sports Centre,4
AIREYS INLET,SURF COAST,26490,Barwon,shopping,convenience_store,Convenience Store,1
AIRLY,WELLINGTON,26810,Gippsland,education,school,School,2
ALBACUTYA,HINDMARSH,22980,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,1
ALBERTON,WELLINGTON,26810,Gippsland,education,school,School,2
ALBERTON,WELLINGTON,26810,Gippsland,public_transport,bus_stop,Bus Stop,2
ALBERTON,WELLINGTON,26810,Gippsland,recreation,park,Park,2
ALBERTON,WELLINGTON,26810,Gippsland,shopping,convenience_store,Convenience Store,1
ALEXANDRA,MURRINDINDI,25620,Goulburn,community,community_centre,Community Centre,2
ALEXANDRA,MURRINDINDI,25620,Goulburn,community,library,Library,1
ALEXANDRA,MURRINDINDI,25620,Goulburn,community,town_hall,Town Hall,2
ALEXANDRA,MURRINDINDI,25620,Goulburn,education,school,School,6
ALEXANDRA,MURRINDINDI,25620,Goulburn,healthcare,hospital,Hospital,2
ALEXANDRA,MURRINDINDI,25620,Goulburn,healthcare,pharmacy,Pharmacy,1
ALEXANDRA,MURRINDINDI,25620,Goulburn,public_transport,bus_stop,Bus Stop,2
ALEXANDRA,MURRINDINDI,25620,Goulburn,public_transport,stop_position,Public Transport Stop Position,1
ALEXANDRA,MURRINDINDI,25620,Goulburn,recreation,garden,Garden,2
ALEXANDRA,MURRINDINDI,25620,Goulburn,recreation,nature_reserve,Nature Reserve,6
ALEXANDRA,MURRINDINDI,25620,Goulburn,recreation,park,Park,2
ALEXANDRA,MURRINDINDI,25620,Goulburn,recreation,playground,Playground,4
ALEXANDRA,MURRINDINDI,25620,Goulburn,recreation,sports_centre,Sports Centre,5
ALEXANDRA,MURRINDINDI,25620,Goulburn,shopping,supermarket,Supermarket,1
ALFREDTON,BALLARAT,20570,Central Highlands,community,community_centre,Community Centre,4
ALFREDTON,BALLARAT,20570,Central Highlands,education,kindergarten,Kindergarten,1
ALFREDTON,BALLARAT,20570,Central Highlands,education,school,School,4
ALFREDTON,BALLARAT,20570,Central Highlands,healthcare,pharmacy,Pharmacy,1
ALFREDTON,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,10
ALFREDTON,BALLARAT,20570,Central Highlands,recreation,garden,Garden,20
ALFREDTON,BALLARAT,20570,Central Highlands,recreation,park,Park,96
ALFREDTON,BALLARAT,20570,Central Highlands,recreation,playground,Playground,32
ALFREDTON,BALLARAT,20570,Central Highlands,shopping,convenience_store,Convenience Store,5
ALFREDTON,BALLARAT,20570,Central Highlands,shopping,supermarket,Supermarket,2
ALLAMBEE,BAW BAW,20830,Gippsland,recreation,nature_reserve,Nature Reserve,3
ALLANS FLAT,INDIGO,23350,Ovens Murray,recreation,nature_reserve,Nature Reserve,2
ALLANSFORD,MOYNE,25490,Great South Coast,shopping,supermarket,Supermarket,1
ALLANSFORD,WARRNAMBOOL,26730,Great South Coast,education,school,School,2
ALLANSFORD,WARRNAMBOOL,26730,Great South Coast,recreation,nature_reserve,Nature Reserve,1
ALLANSFORD,WARRNAMBOOL,26730,Great South Coast,recreation,park,Park,2
ALLANSFORD,WARRNAMBOOL,26730,Great South Coast,recreation,sports_centre,Sports Centre,2
ALLANSFORD,WARRNAMBOOL,26730,Great South Coast,shopping,convenience_store,Convenience Store,2
ALLENDALE,HEPBURN,22910,Central Highlands,recreation,garden,Garden,2
ALLENDALE,HEPBURN,22910,Central Highlands,recreation,park,Park,2
ALLENDALE,HEPBURN,22910,Central Highlands,recreation,sports_centre,Sports Centre,2
ALLESTREE,GLENELG,22410,Great South Coast,recreation,nature_reserve,Nature Reserve,1
ALMA,CENTRAL GOLDFIELDS,21670,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,6
ALVIE,COLAC OTWAY,21750,Barwon,education,school,School,2
ALVIE,COLAC OTWAY,21750,Barwon,public_transport,bus_stop,Bus Stop,1
ALVIE,COLAC OTWAY,21750,Barwon,public_transport,stop_position,Public Transport Stop Position,1
ALVIE,COLAC OTWAY,21750,Barwon,recreation,nature_reserve,Nature Reserve,1
ALVIE,COLAC OTWAY,21750,Barwon,recreation,park,Park,6
ALVIE,COLAC OTWAY,21750,Barwon,recreation,playground,Playground,1
AMHERST,CENTRAL GOLDFIELDS,21670,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,6
AMPHITHEATRE,PYRENEES,25990,Central Highlands,community,community_centre,Community Centre,2
AMPHITHEATRE,PYRENEES,25990,Central Highlands,education,school,School,2
AMPHITHEATRE,PYRENEES,25990,Central Highlands,recreation,nature_reserve,Nature Reserve,3
AMPHITHEATRE,PYRENEES,25990,Central Highlands,recreation,park,Park,2
ANAKIE,GREATER GEELONG,22750,Barwon,education,school,School,2
ANAKIE,GREATER GEELONG,22750,Barwon,public_transport,bus_stop,Bus Stop,1
ANAKIE,GREATER GEELONG,22750,Barwon,recreation,nature_reserve,Nature Reserve,3
ANAKIE,GREATER GEELONG,22750,Barwon,recreation,park,Park,2
ANAKIE,GREATER GEELONG,22750,Barwon,recreation,playground,Playground,1
ANAKIE,GREATER GEELONG,22750,Barwon,recreation,sports_centre,Sports Centre,2
ANCONA,MANSFIELD,24250,Ovens Murray,community,community_centre,Community Centre,2
ANDERSON,BASS COAST,20740,Gippsland,public_transport,bus_station,Bus Station,1
ANDERSON,BASS COAST,20740,Gippsland,public_transport,bus_stop,Bus Stop,1
ANDERSON,BASS COAST,20740,Gippsland,recreation,park,Park,2
ANGLERS REST,EAST GIPPSLAND,22110,Gippsland,recreation,nature_reserve,Nature Reserve,1
ANGLESEA,SURF COAST,26490,Barwon,community,social_facility,Social Facility,3
ANGLESEA,SURF COAST,26490,Barwon,education,school,School,2
ANGLESEA,SURF COAST,26490,Barwon,healthcare,pharmacy,Pharmacy,1
ANGLESEA,SURF COAST,26490,Barwon,public_transport,bus_stop,Bus Stop,6
ANGLESEA,SURF COAST,26490,Barwon,recreation,nature_reserve,Nature Reserve,5
ANGLESEA,SURF COAST,26490,Barwon,recreation,park,Park,13
ANGLESEA,SURF COAST,26490,Barwon,recreation,playground,Playground,6
ANGLESEA,SURF COAST,26490,Barwon,recreation,sports_centre,Sports Centre,4
ANGLESEA,SURF COAST,26490,Barwon,shopping,convenience_store,Convenience Store,2
ANGLESEA,SURF COAST,26490,Barwon,shopping,supermarket,Supermarket,1
ANNUELLO,SWAN HILL,26610,Mallee,community,community_centre,Community Centre,1
ANNUELLO,SWAN HILL,26610,Mallee,public_transport,bus_stop,Bus Stop,1
ANNUELLO,SWAN HILL,26610,Mallee,recreation,nature_reserve,Nature Reserve,2
ANTWERP,HINDMARSH,22980,Wimmera Southern Mallee,community,community_centre,Community Centre,2
ANTWERP,HINDMARSH,22980,Wimmera Southern Mallee,public_transport,bus_stop,Bus Stop,1
APOLLO BAY,COLAC OTWAY,21750,Barwon,education,school,School,2
APOLLO BAY,COLAC OTWAY,21750,Barwon,healthcare,hospital,Hospital,2
APOLLO BAY,COLAC OTWAY,21750,Barwon,healthcare,pharmacy,Pharmacy,1
APOLLO BAY,COLAC OTWAY,21750,Barwon,public_transport,bus_stop,Bus Stop,5
APOLLO BAY,COLAC OTWAY,21750,Barwon,public_transport,stop_position,Public Transport Stop Position,1
APOLLO BAY,COLAC OTWAY,21750,Barwon,recreation,nature_reserve,Nature Reserve,7
APOLLO BAY,COLAC OTWAY,21750,Barwon,recreation,park,Park,8
APOLLO BAY,COLAC OTWAY,21750,Barwon,recreation,playground,Playground,3
APOLLO BAY,COLAC OTWAY,21750,Barwon,recreation,sports_centre,Sports Centre,4
APOLLO BAY,COLAC OTWAY,21750,Barwon,shopping,supermarket,Supermarket,4
APSLEY,WEST WIMMERA,26890,Wimmera Southern Mallee,community,community_centre,Community Centre,2
APSLEY,WEST WIMMERA,26890,Wimmera Southern Mallee,education,school,School,2
APSLEY,WEST WIMMERA,26890,Wimmera Southern Mallee,public_transport,bus_stop,Bus Stop,1
APSLEY,WEST WIMMERA,26890,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,12
APSLEY,WEST WIMMERA,26890,Wimmera Southern Mallee,recreation,park,Park,8
APSLEY,WEST WIMMERA,26890,Wimmera Southern Mallee,recreation,playground,Playground,2
ARARAT,ARARAT,20260,Central Highlands,community,community_centre,Community Centre,2
ARARAT,ARARAT,20260,Central Highlands,community,library,Library,3
ARARAT,ARARAT,20260,Central Highlands,community,town_hall,Town Hall,2
ARARAT,ARARAT,20260,Central Highlands,education,kindergarten,Kindergarten,3
ARARAT,ARARAT,20260,Central Highlands,education,school,School,14
ARARAT,ARARAT,20260,Central Highlands,healthcare,clinic,Clinic,2
ARARAT,ARARAT,20260,Central Highlands,healthcare,dentist,Dentist,3
ARARAT,ARARAT,20260,Central Highlands,healthcare,doctor,Doctor,2
ARARAT,ARARAT,20260,Central Highlands,healthcare,hospital,Hospital,2
ARARAT,ARARAT,20260,Central Highlands,healthcare,pharmacy,Pharmacy,2
ARARAT,ARARAT,20260,Central Highlands,public_transport,bus_stop,Bus Stop,47
ARARAT,ARARAT,20260,Central Highlands,public_transport,platform,Public Transport Platform,1
ARARAT,ARARAT,20260,Central Highlands,public_transport,railway_station,Railway Station,1
ARARAT,ARARAT,20260,Central Highlands,public_transport,stop_position,Public Transport Stop Position,6
ARARAT,ARARAT,20260,Central Highlands,recreation,garden,Garden,2
ARARAT,ARARAT,20260,Central Highlands,recreation,nature_reserve,Nature Reserve,15
ARARAT,ARARAT,20260,Central Highlands,recreation,park,Park,16
ARARAT,ARARAT,20260,Central Highlands,recreation,playground,Playground,8
ARARAT,ARARAT,20260,Central Highlands,recreation,sports_centre,Sports Centre,16
ARARAT,ARARAT,20260,Central Highlands,shopping,convenience_store,Convenience Store,4
ARARAT,ARARAT,20260,Central Highlands,shopping,supermarket,Supermarket,5
ARBUCKLE,WELLINGTON,26810,Gippsland,recreation,nature_reserve,Nature Reserve,1
ARCADIA,GREATER SHEPPARTON,22830,Goulburn,recreation,nature_reserve,Nature Reserve,5
ARCHDALE,CENTRAL GOLDFIELDS,21670,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,2
ARCHDALE,NORTHERN GRAMPIANS,25810,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,4
ARCHERTON,BENALLA,21010,Ovens Murray,recreation,nature_reserve,Nature Reserve,4
ARCHIES CREEK,BASS COAST,20740,Gippsland,community,community_centre,Community Centre,2
ARDMONA,GREATER SHEPPARTON,22830,Goulburn,education,school,School,2
ARDMONA,GREATER SHEPPARTON,22830,Goulburn,recreation,park,Park,2
ARDMONA,GREATER SHEPPARTON,22830,Goulburn,shopping,convenience_store,Convenience Store,1
ARGYLE,GREATER BENDIGO,22620,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,1
ARMSTRONG,ARARAT,20260,Central Highlands,recreation,nature_reserve,Nature Reserve,6
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,community,community_centre,Community Centre,4
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,community,library,Library,2
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,community,social_facility,Social Facility,4
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,education,kindergarten,Kindergarten,4
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,education,school,School,10
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,healthcare,clinic,Clinic,1
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,healthcare,pharmacy,Pharmacy,2
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,public_transport,bus_stop,Bus Stop,18
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,public_transport,stop_position,Public Transport Stop Position,1
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,recreation,garden,Garden,3
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,recreation,nature_reserve,Nature Reserve,4
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,recreation,park,Park,70
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,recreation,playground,Playground,9
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,shopping,convenience_store,Convenience Store,6
ARMSTRONG CREEK,GREATER GEELONG,22750,Barwon,shopping,supermarket,Supermarket,6
ARNOLD,LODDON,23940,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,4
ASCOT (BALLARAT),BALLARAT,20570,Central Highlands,recreation,playground,Playground,3
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,education,kindergarten,Kindergarten,3
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,healthcare,clinic,Clinic,2
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,public_transport,bus_stop,Bus Stop,3
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,2
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,recreation,park,Park,14
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,recreation,playground,Playground,5
ASCOT (BENDIGO),GREATER BENDIGO,22620,Loddon Campaspe,recreation,sports_centre,Sports Centre,2
ATHLONE,BAW BAW,20830,Gippsland,community,community_centre,Community Centre,2
ATHLONE,BAW BAW,20830,Gippsland,recreation,park,Park,4
AUBREY,YARRIAMBIACK,27630,Wimmera Southern Mallee,community,community_centre,Community Centre,2
AUBREY,YARRIAMBIACK,27630,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,2
AVALON,GREATER GEELONG,22750,Barwon,education,school,School,2
AVALON,GREATER GEELONG,22750,Barwon,public_transport,bus_stop,Bus Stop,2
AVALON,GREATER GEELONG,22750,Barwon,recreation,nature_reserve,Nature Reserve,2
AVALON,GREATER GEELONG,22750,Barwon,recreation,playground,Playground,1
AVALON,GREATER GEELONG,22750,Barwon,recreation,sports_centre,Sports Centre,2
AVALON,GREATER GEELONG,22750,Barwon,shopping,convenience_store,Convenience Store,1
AVALON,GREATER GEELONG,22750,Barwon,shopping,supermarket,Supermarket,1
AVENEL,STRATHBOGIE,26430,Goulburn,education,school,School,2
AVENEL,STRATHBOGIE,26430,Goulburn,public_transport,bus_stop,Bus Stop,2
AVENEL,STRATHBOGIE,26430,Goulburn,public_transport,platform,Public Transport Platform,2
AVENEL,STRATHBOGIE,26430,Goulburn,public_transport,railway_station,Railway Station,1
AVENEL,STRATHBOGIE,26430,Goulburn,public_transport,stop_position,Public Transport Stop Position,1
AVENEL,STRATHBOGIE,26430,Goulburn,recreation,park,Park,4
AVENEL,STRATHBOGIE,26430,Goulburn,recreation,playground,Playground,1
AVENEL,STRATHBOGIE,26430,Goulburn,recreation,sports_centre,Sports Centre,3
AVENEL,STRATHBOGIE,26430,Goulburn,shopping,convenience_store,Convenience Store,2
AVOCA,PYRENEES,25990,Central Highlands,education,school,School,2
AVOCA,PYRENEES,25990,Central Highlands,recreation,garden,Garden,1
AVOCA,PYRENEES,25990,Central Highlands,recreation,nature_reserve,Nature Reserve,6
AVOCA,PYRENEES,25990,Central Highlands,recreation,park,Park,4
AVOCA,PYRENEES,25990,Central Highlands,recreation,playground,Playground,1
AVOCA,PYRENEES,25990,Central Highlands,recreation,sports_centre,Sports Centre,2
AVOCA,PYRENEES,25990,Central Highlands,shopping,supermarket,Supermarket,1
AVON PLAINS,NORTHERN GRAMPIANS,25810,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,6
AXE CREEK,GREATER BENDIGO,22620,Loddon Campaspe,education,school,School,2
AXE CREEK,GREATER BENDIGO,22620,Loddon Campaspe,recreation,garden,Garden,12
AXEDALE,GREATER BENDIGO,22620,Loddon Campaspe,community,town_hall,Town Hall,1
AXEDALE,GREATER BENDIGO,22620,Loddon Campaspe,education,school,School,2
AXEDALE,GREATER BENDIGO,22620,Loddon Campaspe,public_transport,bus_stop,Bus Stop,2
AXEDALE,GREATER BENDIGO,22620,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,9
AXEDALE,GREATER BENDIGO,22620,Loddon Campaspe,recreation,playground,Playground,1
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,community,community_centre,Community Centre,1
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,community,library,Library,2
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,community,social_facility,Social Facility,7
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,education,childcare,Childcare Centre,2
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,education,college,College,1
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,education,school,School,4
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,healthcare,clinic,Clinic,6
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,healthcare,dentist,Dentist,1
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,healthcare,doctor,Doctor,3
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,healthcare,hospital,Hospital,2
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,healthcare,pharmacy,Pharmacy,1
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,public_transport,bus_stop,Bus Stop,19
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,recreation,nature_reserve,Nature Reserve,2
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,recreation,park,Park,43
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,recreation,playground,Playground,10
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,recreation,sports_centre,Sports Centre,1
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,shopping,convenience_store,Convenience Store,10
BACCHUS MARSH,MOORABOOL,25150,Central Highlands,shopping,supermarket,Supermarket,5
BADDAGINNIE,BENALLA,21010,Ovens Murray,education,school,School,2
BADDAGINNIE,BENALLA,21010,Ovens Murray,recreation,nature_reserve,Nature Reserve,7
BAEL BAEL,GANNAWARRA,22250,Mallee,recreation,nature_reserve,Nature Reserve,1
BAGSHOT,GREATER BENDIGO,22620,Loddon Campaspe,public_transport,bus_stop,Bus Stop,1
BAGSHOT,GREATER BENDIGO,22620,Loddon Campaspe,recreation,park,Park,2
BAGSHOT NORTH,GREATER BENDIGO,22620,Loddon Campaspe,recreation,sports_centre,Sports Centre,2
BAHGALLAH,GLENELG,22410,Great South Coast,recreation,nature_reserve,Nature Reserve,5
BAILIESTON,STRATHBOGIE,26430,Goulburn,recreation,nature_reserve,Nature Reserve,4
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,community,community_centre,Community Centre,2
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,community,library,Library,1
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,community,social_facility,Social Facility,3
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,education,college,College,4
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,education,kindergarten,Kindergarten,2
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,education,school,School,17
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,healthcare,clinic,Clinic,3
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,healthcare,doctor,Doctor,2
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,healthcare,hospital,Hospital,2
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,healthcare,pharmacy,Pharmacy,3
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,public_transport,bus_station,Bus Station,1
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,public_transport,bus_stop,Bus Stop,26
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,public_transport,platform,Public Transport Platform,1
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,public_transport,railway_station,Railway Station,1
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,public_transport,stop_position,Public Transport Stop Position,5
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,recreation,nature_reserve,Nature Reserve,4
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,recreation,park,Park,19
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,recreation,playground,Playground,4
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,recreation,sports_centre,Sports Centre,4
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,shopping,convenience_store,Convenience Store,8
BAIRNSDALE,EAST GIPPSLAND,22110,Gippsland,shopping,supermarket,Supermarket,6
BAKERY HILL,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,2
BAKERY HILL,BALLARAT,20570,Central Highlands,recreation,garden,Garden,4
BALLAN,MOORABOOL,25150,Central Highlands,education,college,College,2
BALLAN,MOORABOOL,25150,Central Highlands,education,kindergarten,Kindergarten,1
BALLAN,MOORABOOL,25150,Central Highlands,education,school,School,4
BALLAN,MOORABOOL,25150,Central Highlands,healthcare,hospital,Hospital,1
BALLAN,MOORABOOL,25150,Central Highlands,healthcare,pharmacy,Pharmacy,1
BALLAN,MOORABOOL,25150,Central Highlands,public_transport,bus_stop,Bus Stop,10
BALLAN,MOORABOOL,25150,Central Highlands,public_transport,platform,Public Transport Platform,1
BALLAN,MOORABOOL,25150,Central Highlands,public_transport,railway_station,Railway Station,1
BALLAN,MOORABOOL,25150,Central Highlands,public_transport,stop_position,Public Transport Stop Position,4
BALLAN,MOORABOOL,25150,Central Highlands,recreation,nature_reserve,Nature Reserve,6
BALLAN,MOORABOOL,25150,Central Highlands,recreation,park,Park,10
BALLAN,MOORABOOL,25150,Central Highlands,recreation,playground,Playground,2
BALLAN,MOORABOOL,25150,Central Highlands,shopping,convenience_store,Convenience Store,2
BALLAN,MOORABOOL,25150,Central Highlands,shopping,supermarket,Supermarket,1
BALLANGEICH,MOYNE,25490,Great South Coast,public_transport,bus_stop,Bus Stop,1
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,community,library,Library,2
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,community,town_hall,Town Hall,2
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,education,college,College,3
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,education,kindergarten,Kindergarten,2
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,education,school,School,6
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,healthcare,dentist,Dentist,2
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,healthcare,doctor,Doctor,14
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,healthcare,hospital,Hospital,4
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,healthcare,pharmacy,Pharmacy,11
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,public_transport,bus_station,Bus Station,2
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,50
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,public_transport,platform,Public Transport Platform,1
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,public_transport,railway_station,Railway Station,1
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,public_transport,stop_position,Public Transport Stop Position,3
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,recreation,garden,Garden,2
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,recreation,park,Park,44
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,recreation,playground,Playground,5
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,shopping,convenience_store,Convenience Store,6
BALLARAT CENTRAL,BALLARAT,20570,Central Highlands,shopping,supermarket,Supermarket,10
BALLARAT EAST,BALLARAT,20570,Central Highlands,community,community_centre,Community Centre,2
BALLARAT EAST,BALLARAT,20570,Central Highlands,community,social_facility,Social Facility,2
BALLARAT EAST,BALLARAT,20570,Central Highlands,education,childcare,Childcare Centre,3
BALLARAT EAST,BALLARAT,20570,Central Highlands,education,school,School,6
BALLARAT EAST,BALLARAT,20570,Central Highlands,healthcare,pharmacy,Pharmacy,1
BALLARAT EAST,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,18
BALLARAT EAST,BALLARAT,20570,Central Highlands,public_transport,platform,Public Transport Platform,1
BALLARAT EAST,BALLARAT,20570,Central Highlands,recreation,garden,Garden,7
BALLARAT EAST,BALLARAT,20570,Central Highlands,recreation,nature_reserve,Nature Reserve,2
BALLARAT EAST,BALLARAT,20570,Central Highlands,recreation,park,Park,51
BALLARAT EAST,BALLARAT,20570,Central Highlands,recreation,playground,Playground,5
BALLARAT EAST,BALLARAT,20570,Central Highlands,recreation,sports_centre,Sports Centre,2
BALLARAT EAST,BALLARAT,20570,Central Highlands,shopping,supermarket,Supermarket,3
BALLARAT NORTH,BALLARAT,20570,Central Highlands,education,kindergarten,Kindergarten,2
BALLARAT NORTH,BALLARAT,20570,Central Highlands,education,school,School,2
BALLARAT NORTH,BALLARAT,20570,Central Highlands,healthcare,pharmacy,Pharmacy,1
BALLARAT NORTH,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,11
BALLARAT NORTH,BALLARAT,20570,Central Highlands,recreation,park,Park,14
BALLARAT NORTH,BALLARAT,20570,Central Highlands,recreation,playground,Playground,14
BALLARAT NORTH,BALLARAT,20570,Central Highlands,shopping,convenience_store,Convenience Store,1
BALLARAT NORTH,BALLARAT,20570,Central Highlands,shopping,supermarket,Supermarket,2
BALLIANG,GREATER GEELONG,22750,Barwon,recreation,nature_reserve,Nature Reserve,2
BALLIANG,MOORABOOL,25150,Central Highlands,community,community_centre,Community Centre,2
BALLIANG,MOORABOOL,25150,Central Highlands,recreation,nature_reserve,Nature Reserve,1
BALLIANG,MOORABOOL,25150,Central Highlands,recreation,park,Park,2
BALLIANG,MOORABOOL,25150,Central Highlands,recreation,playground,Playground,2
BALLIANG EAST,MOORABOOL,25150,Central Highlands,education,school,School,2
BALLIANG EAST,MOORABOOL,25150,Central Highlands,recreation,park,Park,2
BALLYROGAN,ARARAT,20260,Central Highlands,recreation,nature_reserve,Nature Reserve,2
BALMATTUM,STRATHBOGIE,26430,Goulburn,recreation,nature_reserve,Nature Reserve,3
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,community,community_centre,Community Centre,2
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,education,school,School,2
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,healthcare,clinic,Clinic,1
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,recreation,nature_reserve,Nature Reserve,7
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,recreation,park,Park,6
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,recreation,playground,Playground,1
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,recreation,sports_centre,Sports Centre,2
BALMORAL,SOUTHERN GRAMPIANS,26260,Great South Coast,shopping,supermarket,Supermarket,1
BALOOK,LATROBE,23810,Gippsland,recreation,nature_reserve,Nature Reserve,1
